well_position	broad_sample
L04	BRDN0001066838
L05	BRDN0001484463
L06	BRDN0001066751
L07	BRDN0001146145
L08	
L09	BRDN0001483958
L10	BRDN0001057535
L11	BRDN0001484654
L12	BRDN0001489120
L13	BRDN0001065257
L14	BRDN0000563764
L15	BRDN0000579780
L16	BRDN0001477860
L17	BRDN0001487440
L18	BRDN0001486303
L19	BRDN0001148950
L20	BRDN0001487520
L21	BRDN0001480913
L22	BRDN0001482741
L23	BRDN0000579759
L24	BRDN0001147780
M01	BRDN0001486451
M02	BRDN0001488371
M03	BRDN0001144990
M04	BRDN0001480501
M05	BRDN0000562944
M06	BRDN0001052307
M07	BRDN0001145610
M08	BRDN0001481787
M09	BRDN0001147812
M10	BRDN0001477860
M11	BRDN0001147209
M12	BRDN0001479324
M13	BRDN0001477634
M14	BRDN0001148519
M15	BRDN0001487249
M16	BRDN0001147629
M17	BRDN0001148417
M18	BRDN0001484348
M19	BRDN0001146786
M20	BRDN0001480309
M21	BRDN0001065858
M22	BRDN0001065728
M23	BRDN0000585461
M24	BRDN0001482977
N01	BRDN0001488358
N02	BRDN0001488340
N03	BRDN0001065187
N04	BRDN0001148507
N05	BRDN0001146512
N06	BRDN0001147867
N07	BRDN0001065258
N08	BRDN0001479432
N09	BRDN0001145575
N10	BRDN0001146145
N11	BRDN0001484786
N12	BRDN0001484218
N13	BRDN0001145318
N14	BRDN0001477830
N15	BRDN0001148298
N16	BRDN0001149418
N17	BRDN0001487201
N18	BRDN0001162582
N19	BRDN0001483830
N20	BRDN0001483666
N21	BRDN0001482450
N22	BRDN0000990412
N23	BRDN0001480256
N24	BRDN0001481578
O01	BRDN0001484276
O02	BRDN0001484377
O03	BRDN0001479616
O04	BRDN0001479298
O05	BRDN0001066250
O06	BRDN0001486925
O07	BRDN0001485608
O08	BRDN0001054403
O09	BRDN0001486449
O10	BRDN0001148112
O11	BRDN0001148519
O12	BRDN0001477634
O13	BRDN0001145503
O14	BRDN0001061132
O15	BRDN0001145758
O16	BRDN0001486718
O17	BRDN0001480476
O18	BRDN0001146819
O19	BRDN0001056840
O20	BRDN0001480865
O21	BRDN0001481609
O22	BRDN0001486606
O23	BRDN0001488463
O24	BRDN0001479710
P01	BRDN0001056840
P02	BRDN0001484586
P03	BRDN0001053816
P04	BRDN0001479262
P05	BRDN0001483086
P06	BRDN0000563722
P07	BRDN0001148112
P08	BRDN0001486813
P09	BRDN0001483549
P10	BRDN0001480942
P11	BRDN0001147812
P12	BRDN0001146476
P13	BRDN0001489498
P14	BRDN0001488605
P15	BRDN0001485163
P16	BRDN0001485309
P17	BRDN0001144958
P18	BRDN0001054361
P19	BRDN0001481136
P20	BRDN0001145303
P21	BRDN0001484228
P22	BRDN0001487618
P23	BRDN0001487864
P24	BRDN0000735603
